,UPI Banks,Volume of Costumers(in Millions),Value of Transactions,Volume in Million,Value (Cr),Month,Year
0,Airtel Payments Bank Apps,8.53,2047.45,13.22,4729.77,1,2022
145,Federal Bank App,0.54,109.25,0.54,109.25,1,2022
294,MakeMy Trip,0.06,19.63,0.06,19.63,1,2022
404,UCO Bank App,0.16,37.26,0.16,37.26,1,2022
124,Deutsche Bank App,0.92,61.95,0.92,62.08,1,2022
121,Dena Bank App,0.02,26.5,0.02,26.5,1,2022
301,MI Pay,0.27,40.51,0.27,40.51,1,2022
114,DBS Digibank App,0.51,186.79,0.51,186.79,1,2022
411,Ultracash,2.14,177.63,2.14,177.63,1,2022
107,Cred,10.68,14189.86,10.68,14189.86,1,2022
152,Fino Payments bank App,0.03,2.79,0.03,2.79,1,2022
100,Cointab,1.21,179.22,1.21,179.22,1,2022
93,City Union Bank App,0.02,4.92,0.02,4.92,1,2022
308,Mobikwik,3.87,886.55,3.87,886.55,1,2022
418,Union Bank Apps,0.39,182.27,0.39,182.27,1,2022
86,Citi Bank App,0.09,77.8,0.09,77.8,1,2022
79,Central Bank of India App,0.13,47.33,0.13,47.33,1,2022
72,Canara Bank App,0.26,98.95,0.26,98.95,1,2022
315,NSDL Payments Bank App,0.02,1.45,0.02,1.45,1,2022
65,BHIM,25.82,8511.91,25.82,8511.91,1,2022
58,Bank of Maharashtra App,0.05,12.46,0.05,12.46,1,2022
343,Punjab National Bank App,0.09,44.86,0.09,44.86,1,2022
51,Bank of India App,0.05,20.23,0.05,20.23,1,2022
162,Finshell Pay,0.07,3.69,0.07,3.69,1,2022
173,Google Pay,1584.2,298267.07,1584.2,298267.07,1,2022
256,Jio Payments Bank App,2.05,114.39,2.05,114.39,1,2022
254,Janta Sahakari Bank App,0.01,4.46,0.01,4.46,1,2022
357,RBL Bank App,0.42,101.45,0.43,101.45,1,2022
246,Jammu and Kashmir Bank App,0.01,2.47,0.01,2.47,1,2022
364,Samsung Pay,3.17,431.07,3.17,431.07,1,2022
239,IndusInd Bank App,0.74,1218.79,0.74,1218.79,1,2022
355,Punjab Sindh Bank App,0.01,2.87,0.01,2.87,1,2022
271,Jupiter Money,1.02,156.15,1.02,156.15,1,2022
227,Indian Bank App,0.13,47.42,0.13,47.42,1,2022
287,Kotak Mahindra Bank Apps,6.88,1333.06,6.88,1333.06,1,2022
371,South Indian Bank App,0.13,41.4,0.13,41.4,1,2022
220,India Post Payments Bank App,2.65,309.42,2.65,309.42,1,2022
213,IDFC Bank App,1.22,316.37,1.22,316.37,1,2022
206,IDBI Bank App,0.02,12.54,0.02,12.54,1,2022
378,Standard Chartered Bank App,0.11,60.49,0.11,60.49,1,2022
199,ICICI Bank Apps,29.87,8491.18,33.43,8707.05,1,2022
280,Karur Vysya Bank App,0.04,17.37,0.04,17.37,1,2022
192,HSBC Bank App,0.08,54.47,0.08,54.57,1,2022
185,HDFC Bank Apps,4.94,1366.89,4.94,1366.89,1,2022
385,State Bank of India Apps,3.62,1967.04,3.62,1967.05,1,2022
273,Karnataka Bank App,0.25,31.19,0.25,31.19,1,2022
431,WhatsApp,2.34,205.83,2.34,205.83,1,2022
131,Dhanlaxmi Bank App,0.01,2.95,0.01,2.95,1,2022
13,Amazon Pay,73.5,6729.66,73.5,6729.66,1,2022
7,Allahabad Bank App,0.02,7.36,0.02,7.36,1,2022
27,Axis Bank Apps,6.78,1058.77,47.25,1093.02,1,2022
438,Yes Bank Apps,27.24,5816.96,27.59,5817.16,1,2022
336,PhonePe,2140.28,405173.78,2140.28,405173.78,1,2022
329,Paytm Payments Bank App,615.9,70892.01,710.28,85125.97,1,2022
20,AU Small Finance Bank App,0.23,81.15,0.23,81.15,1,2022
44,Bank of Baroda Apps,0.71,342.85,0.71,342.85,1,2022
445,YuvaPay,0.05,77.12,0.05,77.12,1,2022
34,Bajaj Finserv,0.24,12.88,0.24,12.88,1,2022
322,Others,0.02,9.08,0.02,9.08,1,2022
108,Cred,10.08,13364.09,10.08,13364.09,2,2022
439,Yes Bank Apps,31.99,6551.55,32.17,6551.61,2,2022
412,Ultracash,1.51,158.7,1.51,158.7,2,2022
288,Kotak Mahindra Bank Apps,6.91,1383.3,6.91,1383.3,2,2022
330,Paytm Payments Bank App,613.77,72204.32,706.77,86299.22,2,2022
101,Cointab,1.73,280.57,1.73,280.57,2,2022
163,Finshell Pay,0.06,3.8,0.06,3.8,2,2022
344,Punjab National Bank App,0.08,43.49,0.08,43.49,2,2022
35,Bajaj Finserv,0.33,19.32,0.33,19.32,2,2022
356,Punjab Sindh Bank Apps,0.01,2.66,0.01,2.66,2,2022
228,Indian Bank App,0.11,42.07,0.11,42.07,2,2022
214,IDFC Bank App,1.21,321.93,1.21,321.93,2,2022
240,IndusInd Bank App,0.77,1358.24,0.77,1358.24,2,2022
28,Axis Bank Apps,6.9,1366.34,54.78,1405.26,2,2022
115,DBS Digibank App,0.46,173.63,0.46,173.63,2,2022
146,Federal Bank App,0.55,108.21,0.55,108.21,2,2022
8,Allahabad Bank App,0.02,6.28,0.02,6.28,2,2022
272,Jupiter Money,1.13,140.79,1.13,140.79,2,2022
132,Dhanlaxmi Bank App,0.01,2.83,0.01,2.83,2,2022
358,RBL Bank App,0.51,107.25,0.51,107.25,2,2022
