Date,Category,RefNo,Date.1,Withdrawal,Deposit,Balance,Month,Year,day
2023-01-01,Rent,3.00E+11,1/1/2023,3950.0,0.0,1837.23,January,2023,Sunday
2023-01-02,Food,3.03E+11,1/2/2023,80.0,0.0,11526.97,January,2023,Monday
2023-01-02,Food,3.40E+11,1/2/2023,20.0,0.0,11606.97,January,2023,Monday
2023-01-02,Food,3.03E+11,1/2/2023,30.0,0.0,11626.97,January,2023,Monday
2023-01-03,Food,3.43E+11,1/3/2023,60.0,0.0,11836.89,January,2023,Tuesday
2023-01-03,Food,3.43E+11,1/3/2023,30.0,0.0,11806.89,January,2023,Tuesday
2023-01-04,Food,3.09E+11,1/4/2023,42.0,0.0,6686.94,January,2023,Wednesday
2023-01-04,Food,3.46E+11,1/4/2023,42.0,0.0,5827.79,January,2023,Wednesday
2023-01-04,Misc,3.09E+11,1/4/2023,550.0,0.0,5869.79,January,2023,Wednesday
2023-01-04,Food,3.09E+11,1/4/2023,267.15,0.0,6419.79,January,2023,Wednesday
2023-01-04,Misc,0,31/03/23,0.0,32.0,6728.94,January,2023,Wednesday
2023-01-04,Rent,3.09E+11,1/4/2023,6356.0,0.0,6696.94,January,2023,Wednesday
2023-01-05,Food,3.49E+11,1/5/2023,80.0,0.0,5955.52,January,2023,Thursday
2023-01-05,Misc,3.12E+11,1/5/2023,0.0,120.0,6130.52,January,2023,Thursday
2023-01-05,Misc,3.12E+11,1/5/2023,240.0,0.0,6010.52,January,2023,Thursday
2023-01-05,Misc,3.12E+11,1/5/2023,0.0,350.0,6250.52,January,2023,Thursday
2023-01-05,Food,3.12E+11,1/5/2023,65.0,0.0,5900.52,January,2023,Thursday
2023-01-05,Rent,3.12E+11,1/5/2023,6463.0,0.0,5965.52,January,2023,Thursday
2023-01-05,Food,3.49E+11,1/5/2023,30.0,0.0,6065.52,January,2023,Thursday
2023-01-05,Food,3.49E+11,1/5/2023,30.0,0.0,6035.52,January,2023,Thursday
2023-01-05,Food,3.12E+11,1/5/2023,35.0,0.0,6095.52,January,2023,Thursday
2023-01-06,Shopping,3.15E+11,1/6/2023,0.0,186.0,8637.96,January,2023,Friday
2023-01-07,Food,3.55E+11,1/7/2023,20.0,0.0,1039.85,January,2023,Saturday
2023-01-07,Misc,0,30/06/23,0.0,34.0,1059.85,January,2023,Saturday
2023-01-07,Food,3.18E+11,1/7/2023,20.0,0.0,1019.85,January,2023,Saturday
2023-01-07,Food,3.18E+11,1/7/2023,20.0,0.0,999.85,January,2023,Saturday
2023-01-08,Food,3.21E+11,1/8/2023,30.0,0.0,7240.62,January,2023,Sunday
2023-01-08,Misc,MIR2421393691857,1/8/2023,236.0,0.0,7285.62,January,2023,Sunday
2023-01-08,Food,3.21E+11,1/8/2023,15.0,0.0,7270.62,January,2023,Sunday
2023-01-09,Misc,3.24E+11,1/9/2023,110.0,0.0,4926.86,January,2023,Monday
2023-01-09,Food,3.24E+11,1/9/2023,20.0,0.0,4906.86,January,2023,Monday
2023-01-09,Food,3.24E+11,1/9/2023,30.0,0.0,4876.86,January,2023,Monday
2023-01-09,Misc,3.24E+11,1/9/2023,447.0,0.0,4429.86,January,2023,Monday
2023-01-09,Food,3.24E+11,1/9/2023,52.0,0.0,4377.86,January,2023,Monday
